property_title,postal_code,monthly_price,weekly_price,bedroom,baths,tenants,location,deposit,rent,bills_included,students only,student_friendly,families_allowed,pets_allowed,smokers_allowed,available_from,minimum_tenancy,garden,parking,fireplace,furnishing,url,epc_rating,description
"2 Bed Flat, Bouchon Point, E1",E1,"£3,553.33",£820.00,2,2,2,London,"£4,099.99","£3,553.33",No,-,Yes,No,No,No,"30 September, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-bouchon-point-e1/1854440,,"We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location.Available to move in from 30 September 2024. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £3,553.33 per month (£820.00 per week)Deposit / Bond is £4,099.99Minimum tenancy is 12 monthsMaximum number of tenants is 2"
"2 Bed Penthouse, Bouchon Point, E1",E1,"£3,600.00",£830.77,2,2,3,London,"£4,153.84","£3,600.00",No,-,Yes,Yes,No,No,Today,12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-penthouse-bouchon-point-e1/2186056,,"Video on Instagram: lux.residence.mcrWe are excited to present this charming penthouse with 2 bedrooms and 2 bathrooms in a fantastic location. The property is available for move-in on 09 Aug 2024 and comes fully furnished. We highly recommend viewing this apartment, which features underfloor heating, air cooling system, and is conveniently located just 2 stations away from Liverpool Street. Contact OpenRent for more information or to schedule a viewing.SummaryRent £3,750.00 per month (£865.38 per week)Deposit / Bond is £4,326.00Minimum tenancy is 12 monthsMaximum number of tenants is 3"
"2 Bed Flat, Bouchon Point, E1",E1,"£3,460.00",£798.46,2,2,3,London,"£3,992.30","£3,460.00",No,-,Yes,Yes,Yes,Yes,"26 September, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-bouchon-point-e1/2217575,,"two bedroom two bathrooms on 15th floor apartment for rent situated in the popular premium development ""the silk district"" e1.The silk district is located in the heart of whitechapel moments from the station which offers routes into the city, west end & the docklands via hammersmith/city line, district line, the overground and cross rail.Only 4mins walk to white chapel station.The city is within walking distance as are local shops, restaurants and a sainsburys supermarket.Our 15th floor apartments is set over 79 square meters and comprises a bright and spacious reception room with an open plan fully fitted kitchen, double bedroom with ample built in wardrobes and a luxury bathroom suite.There is also a large walk in utility cupboard with ample storage space.Both bed rooms are ensuiteResidents living in the silk district can enjoy facilities such as roof top gardens, cinema, gym and a dedicated 24 hour concierge.Comes furnsihed.Property available from 24.09.2024"
"1 Bed Flat, Cendal Crescent, E1",E1,"£2,500.00",£576.92,1,1,1,London,"£2,884.61","£2,500.00",No,-,Yes,No,No,No,"19 September, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/1-bed-flat-cendal-crescent-e1/2218139,,"ONE BEDROOM ONE BATHROOMS ON 15TH FLOOR APARTMENT FOR RENT SITUATED IN THE POPULAR PREMIUM DEVELOPMENT ""THE SILK DISTRICT"" E1.The Silk District is located in the heart of Whitechapel moments from the station which offers routes into the City, West End & the Docklands via Hammersmith/City line, District line, the overground and Cross rail. only 4mins walk to White Chapel station.The City is within walking distance as are local shops, restaurants and a Sainsburys supermarket.Our 15th floor apartments is set over 56 square meters and comprises a bright and spacious reception room with an open plan fully fitted kitchen, double bedroom with ample built in wardrobes and a luxury bathroom suite. There is also a large walk in utility cupboard with ample storage space. Both bed rooms are ensuiteResidents living in the Silk District can enjoy facilities such as roof top gardens, cinema, gym and a dedicated 24 hour concierge.COMES FURNSIHED. PROPERTY AVAILABLE FROM 18.09.2024"
"Studio Flat, Bouchon Point, E1",E1,"£2,300.00",£530.77,1,1,1,London,"£2,653.84","£2,300.00",No,Yes,-,No,No,No,"20 September, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-bouchon-point-e1/2218291,,"Studio Flat for Rent on 15th Floor situated at popular Premium development ""The Silk District E1"" just walking distance to Whitechapel StationThe Silk District is located in the heart of Whitechapel moments from the station which offers routes into the City, West End & the Docklands via Hammersmith/City line, District line, the overground and Cross rail. only 4mins walk to White Chapel station.The City is within walking distance as are local shops, restaurants and a Sainsburys supermarket.Our 15th floor apartments is set over 47 square meters and comprises a bright and spacious open plan fully fitted kitchen, double bedroom with ample built in wardrobes and a luxury bathroom suite. There is also a large walk in utility cupboard with ample storage space.Residents living in the Silk District can enjoy facilities such as roof top gardens, cinema, gym and a dedicated 24 hour concierge.COMES FURNSIHED. PROPERTY AVAILABLE FROM 20.09.2024"
"1 Bed Flat, Kempton Court, E1",E1,"£1,800.00",£415.38,1,1,2,London,"£2,076.92","£1,800.00",No,-,Yes,Yes,No,No,Today,6 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/1-bed-flat-kempton-court-e1/2056536,,"We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 11 September 2024. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £1,800.00 per month (£415.38 per week)Deposit / Bond is £2,076.92Minimum tenancy is 6 monthsMaximum number of tenants is 2"
"Studio Flat, Bouchon Point, E1",E1,"£2,300.00",£530.77,1,1,2,London,"£2,653.84","£2,300.00",No,-,Yes,Yes,No,No,Today,9 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-bouchon-point-e1/2189872,,"NEW HOMEE1 central london area, extremely close to the Elizabeth line and Whitechapel station. 2 minutes walk to Sainsbury’s. Very convenient area.We are pleased to offer this delightful studio in the city of london.1 min walk from district line, Hammersmith and city line, london overground, Elizabeth line.Available to move in right nowProperty is furnished to a very high standardViewing is available!"
"Studio Flat, Brady Street, E1",E1,"£1,730.00",£399.23,1,1,2,London,"£1,996.15","£1,730.00",No,-,Yes,No,No,No,"24 October, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-brady-street-e1/2219694,,"Nice size studio flat with separate kitchen and large shower room. recently refurbished with new kitchen and shower. Very bright and airy. Only 4 minute walk to Whitechapel station which gives access to District, Hammersmith and City, Elizabeth and London Overground lines. Short walk to Sainsburys superstore. 20 minute walk into the city.Includesheating and hot water butexcludescouncil tax, water and electricity bills.The flat is available from 24th October, 2024"
"Room in a Shared House, Sambrook House, E1",E1,£850.00,£196.15,4,1,1,London,£0.00,£850.00,Yes,-,Yes,No,No,No,Today,6 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-sambrook-house-e1/2219412,,"We offer the delightful rooms in a 4 bedroom flat,1 bathroom & a separate toilet in a shared flat in a great central location.current flatmates are either working persons and or FULL TIME genuine students.All persons MUST have UK guarantors or pay up front.Available to move in from next month, this property benefits from garden access. Property is offered furnished.Viewing highly recommended. Contact  today for more details or to arrange a viewing!SummaryRent from £850 -  1100.00 per month / roomsplus Ctax ofcourse ** unless having student exemption certificate***We require Uk guarantors for all persons taking a room ***Rooms within a flat share.( Please send a message with full details- sorry no voice messages please )Calm and relaxed flat share having 5 rooms in First Floor MaisonetteShare with like minded persons from around the world.Station approx. 5/8 mins walkCity commute approx. 15 minsperfect location for like minded persons wanting to flat shareeasy clean wood flooring throughout..!Perfect location for cyclists in the city with cycle super highway to everywhere in London..!Flat share for like minded persons in Centralish London E1.We have rooms from 850/m per person plus  C Tax of coursePrices shown are prices per person per room,sorry No couples, No animals  Thank youYESand small room with single bed within from 850and rooms x 2 with double bed within from 960and larger room with double bed from 1100and please noteall persons; you will require a guarantor& Ctax is from 120 per person per month unless a f/t student having exemption letter.***No deposit scheme for those with 2 x valid UK guarantor. ***Hey potential flatmates..!The city or Canary Wharf either way this flat is perfect for commuting to anywhere in London...!The flat is about 5 minutes walk from the station so Perfect for commuting around London.Whitechapel station is about 5 mins away./ Stepney Green is about 5 mins walk away.Aldgate about 10 mins away./ city approx 15 mins commute.Liverpool street station a cycle ride away..!Are you fed up of just having a room In London with no social life..!Okay join us we want to make a difference to our world..!London has got so much to offer and we can really make it work out..!The flat is Moments away from the station and shops are nearby. Sainsbury's /Tesco, food and nice pubs.The flat is a quite and calm for studies / work and rest.The flat is more suitable for individuals who like some peace and quite as opposed to those who want to have parties.Were hoping for like minded, individuals who want to reside together in a home as opposed to just a room and were looking forward to our new flatmates. We want to succeed in our studies and enjoy socialising and of course having great coffee/drinks /meals together when possible. However we do respect individual’s privacy and need for quite time especially after a long day with work.We want to flat share with like minded genuine and honest people of course. Hence id and references are essential but its most important that you write an email and tell us all about yourself and your life and what plans you have for living together.We would like persons to join us who want study/work but at the same time enjoy London as it has so much to offer and together perhaps we can go out for a drink or enjoy an activity together...!okayFor all potential flat mates:Please do also tell us about one self and your flat share experiencesand Please do tell us how would you cope with issues encountered within a flat share..!We would ask potential flat mates to write to us and tell us all about oneself and what they will do in London. Of course the more we know about you the better your chances of joining us and we look forward to meeting you soon.And PLEASE inform us clearly:* Provide your full actual name and age and city and country you're from?* What dates a room is required and for how many months its required please?* Employment details in London UK / university details if a student ?* Your current address, and reason for move?* Don't forget to include your email address and contact number.Thanks for reading.PLEASE PROVIDE FULL COMPLETED ANSWERS TO QUESTIONS PRIOR TO ASKING FOR ANY VIEWS THANKSandFLAT FOR PERSONS IN FULL TIME UNIVERSITY STUDENTS OR Persons EMPLOYED FOR ATLEAST 6 MONTHSandALSO EACH PERSON HAS TO HAVE UK GUARANTORS THANK YOU"
"Room in a Shared House, Sambrook House, E1",E1,£850.00,£196.15,4,1,4,London,£0.00,£850.00,No,-,Yes,No,No,Yes,Today,12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-sambrook-house-e1/2219413,,"Rooms within a flat share.( Please send a message with full details- sorry no voice messages please )Calm and relaxed flat share having 5 rooms in First Floor MaisonetteShare with like minded persons from around the world.Station approx 5 mins walk - City commute approx 15 minsperfect location for like minded persons wanting to flat shareeasy clean wood flooring throughout..!****Sorry No SMOKING -   NON SMOKING WITHIN FLAT  *****but ofcourse a person may smoke outside the flat....!Perfect location for cyclists in the city with cycle super highway to everywhere in London..!Flatshare for like minded persons in Centralish London E1.We have rooms from 795/m per person plus CTax of coursePrices shown are prices per person per room.sorry No couples, No animals Thank yousmall room with single bed from 850 plus Ctax -androom with double bed within from 900 plus Ctaxandroom with double bed within from 975 plus Ctaxandroom with double bed within from 995 plus Ctaxif you're a student /new to London /New job / or under 46; you will require a guarantor& Ctax is 560 per person payable on contract stay lengthNo deposit need from those with a valid UK guarantor.Hey potential flatmates..!The city or Canary Wharf either way this flat is perfect for commuting to anywhere in London...!The flat is about 5 minutes walk from the station so Perfect for commuting around London.Whitechapel station is about 5 mins away./ Stepney Green is about 5 mins walk away.Aldgate about 10 mins away./ city approx 15 mins commute.Liverpool street station a cycle ride away..!Are you fed up of just having a room In London with no social life..!Okay join us we want to make a difference to our world..!London has got so much to offer and we can really make it work out..!The flat is Moments away from the station and shops are nearby. - Sainsbury's /Tesco, food and nice pubs.The flat is a quite and calm for studies / work and rest.The flat is more suitable for individuals who like some peace and quite as opposed to those who want to have parties.Were hoping for like minded, individuals who want to reside together in a home as opposed to just a room and were looking forward to our new flatmates. We want to succeed in our studies and enjoy socialising and of course having great coffee/drinks /meals together when possible. However we do respect individual’s privacy and need for quite time especially after a long day with work.We want to flat share with like minded genuine and honest people of course. Hence id and references are essential but its most important that you write an email and tell us all about yourself and your life and what plans you have for living together.We would like persons to join us who want study/work but at the same time enjoy London as it has so much to offer and together perhaps we can go out for a drink or enjoy an activity together...!For all potentialflat mates:Please do also tell us about one self and your flat share experiencesand Please do tell us how would you cope with issues encountered within a flat share..!We would ask potential flat mates to write to us and tell us all about oneself and what they will do in London. Of course the more we know about you the better your chances of joining us and we look forward to meeting you soon.And PLEASE Provide full information prior to requesting a view;inform us clearly:* Provide your full actual name and age and city and country you're from?* What dates a room is required and for how many months its required please?* Employment details in London UK / university details if a student ?* Your current address, and reason for move?* Don't forget to include your email address and contact number.Thanks for reading.Please EMAIL with your full contact details."
"4 Bed Flat, Bethnal Green Road, E2",E2,"£4,450.00","£1,026.92",4,2,4,London,"£4,450.00","£4,450.00",No,-,No,No,No,No,Today,12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/4-bed-flat-bethnal-green-road-e2/2203665,,"4 Bedroom FlatPlus Reception / Balcony,Ensuite bedrooms in two of the roomsBrand new Kitchen,Newly redecorated,Wood Floorings,two toilets / One BathroomVirtual tour available"
"4 Bed Flat, Bethnal Green Road, E2",E2,"£3,900.00",£900.00,4,2,4,London,"£3,900.00","£3,900.00",No,-,No,No,No,No,Today,12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/4-bed-flat-bethnal-green-road-e2/2181508,,"We are delighted to offer a 4 Bedroom Flat on two levels which has been recently renovated to provide a very welcoming and comfortable living experience. Ideal for those who love or need separate areas at home for additional privacy.The flat features Reception, brand new Kitchen, 4 rooms in total, of which 2 with ensuite, 1 main Bathroom, additional separate toilet, and a Balcony. Wooden flooring throughout.Perfect location for commuting into central London, as there are transport links just 5 minutes walk from the house: Bethnal Green Tube Station and Bethnal Green Rail Station.Whitechapel Tube station is about 10 minutes walk away.EPC Rating D.No bills included."
"4 Bed Flat, Bethnal Green Road, E2",E2,"£3,900.00",£900.00,4,2,4,London,"£3,900.00","£3,900.00",No,-,No,No,No,No,Today,12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/4-bed-flat-bethnal-green-road-e2/2212204,,"4 Bedroom FlatPlus Reception / Balcony,Ensuite bedrooms in two of the roomsBrand new Kitchen,Newly redecorated,Wood Floorings,two toilets / One BathroomVirtual tour available"
"4 Bed Flat, Bethnal Green Road, E2",E2,"£3,900.00",£900.00,4,2,5,London,"£3,900.00","£3,900.00",No,-,Yes,Yes,Yes,Yes,Today,6 Months,No,No,No,At tenant choice,http://openrent.co.uk/property-to-rent/london/4-bed-flat-bethnal-green-road-e2/2212441,,4 Bedroom FlatReceptionBalconyEnsuite bedrooms in two of the roomsBrand new KitchenNewly redecoratedWood FlooringsTwo toilets / One Bathroom
"Room in a Shared Flat, Pundersons Gardens, E2",E2,"£1,700.00",£392.31,3,2,3,London,"£1,700.00","£1,700.00",Yes,-,Yes,Yes,Yes,Yes,Today,1 Months,Yes,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-flat-pundersons-gardens-e2/2182291,,"Epic Loft Warehouse in the Heart of East London!This is a perfect spot to enjoy the hot summer days in London. The place is spacious, with an incredible living room, beautiful green terrace with lots of plants and flowers and two rooftops where you can watch beautiful sunrises and sunsets over London.Situated in the center of popular spots such as Victoria Park, London Fields, Broadway Market, and Brick Lane—all within walking distance.The closest station is Bethnal Green, from where you can catch the Central Line and find yourself in the city center.You will be living with me, a professional working in the fields of education, technology, and arts. I’m looking for a like-minded professional who enjoys both work and play. I spend weekdays at the office and like to spend evenings at home chilling. Sometimes, I have friends over to enjoy the loft. Dinner gatherings and a little boogie are what we like here. :)You’d be welcome to bring your own friends as well, should you become a tenant of this beautiful space. Couples are welcome, with a slightly different price.Please contact me if you are interested.Have a good one!"
"Room in a Shared Flat, Bethnal Green Road, E2",E2,"£1,200.00",£276.92,1,1,1,"London, United Kingdom","£1,200.00","£1,200.00",No,-,Yes,Yes,Yes,Yes,"30 September, 2024",3 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london-united-kingdom/room-in-a-shared-flat-bethnal-green-road-e2/2096758,,This is an unusual flat share opportunity that would suit a professional needing to be in London part time. I'm looking for somebody to rent my whole flat for three or four nights a week. The other nights I would be using it myself. Days could be regular or on 'as needed' basis but with a regular minimum nights per month agreed. Parking is also available when you are using the flat.Fabulous flat. Large open plan. Real fibre optic broadband. Office area. BOSE sound system. HD projector and screen. Mezanine bed.All bill included. Price stated is indicative subject to agreed use pattern and number of days. When you are in the flat you have it to yourself !
"2 Bed Flat, City View House, E2",E2,"£2,450.00",£565.39,2,1,2,London,"£2,826.92","£2,450.00",No,-,No,No,No,No,"23 September, 2024",12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-city-view-house-e2/2219741,,"We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location.Available to move in from 23 September 2024, this property benefits from garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £2,450.00 per month (£565.39 per week)Deposit / Bond is £2,826.92Minimum tenancy is 12 monthsMaximum number of tenants is 2"
"1 Bed Flat, Bethnal Green Road, E2",E2,"£2,500.00",£576.92,1,1,1,London,"£2,500.00","£2,500.00",Yes,-,No,No,Yes,No,"12 November, 2024",1 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/1-bed-flat-bethnal-green-road-e2/2223677,,"A great open plan loft 1 minute from Bethnal Green tube station: a short walk to Shoreditch, Brick Lane, Columbia Road, Vitoria Park, Broadway market; 2 stops to Bank, 2 stops to Stratford International; 15 minutes to Bond Street and the central West End. Super fast hyper-optic true fibre broadband make this a great apartment to work from too.Fully equipped kitchen, BOSE sound system in main room and shower room !In the built in wardrobe you'll find plenty of hanging space and a brand new washer / dryer.Te bed is on a raised platform / mezzanine and has it's own TV, radio and another small selection of books. It's cozy ... quiet, and a great place to sleep.There's a great single sofa bed perfect for kids or teens.The bathroom has a new shower and ceiling mounted speakers so that you can sing away until your heart is content whilst listening to music from the flat's sound system.Oh, it has true fibre optic internet. Super-fast even to stream HD movie through the HD projector !Available on a fully flexible basis. All bills included."
